Epoch,train_loss,train_acc,val_loss,val_acc,train_time
0,23.557,76.395,23.852,75.727,22.801
1,23.569,76.431,23.852,75.727,22.807
2,23.569,76.431,23.852,75.727,22.802
3,23.569,76.431,23.852,75.727,23.356
4,23.569,76.431,23.852,75.727,23.33
5,23.569,76.431,23.852,75.727,22.815
6,23.569,76.431,23.852,75.727,22.794
7,23.569,76.431,23.852,75.727,22.797
8,23.569,76.431,23.852,75.727,22.811
9,23.569,76.431,23.852,75.727,22.801
