Epoch,train_loss,train_acc,val_loss,val_acc,train_time
0,0.592,73.183,0.519,76.22,28.361
1,0.491,76.782,0.471,77.157,28.425
2,0.456,78.033,0.445,78.486,28.424
3,0.434,79.398,0.427,79.732,28.428
4,0.416,80.767,0.411,81.034,28.418
5,0.399,81.919,0.395,82.181,28.423
6,0.383,82.925,0.381,83.227,28.422
7,0.368,83.718,0.366,83.992,28.432
8,0.353,84.665,0.352,84.729,28.419
9,0.339,85.348,0.34,85.202,28.411
