Epoch,train_loss,train_acc,val_loss,val_acc,train_time
0,0.537,76.399,0.511,75.918,31.333
1,0.455,78.489,0.432,80.082,31.345
2,0.403,81.711,0.394,82.329,31.343
3,0.372,83.461,0.369,83.443,31.342
4,0.349,84.661,0.35,84.612,31.361
5,0.332,85.576,0.336,85.507,31.323
6,0.318,86.224,0.326,86.164,31.331
7,0.308,86.763,0.318,86.557,31.345
8,0.299,87.123,0.312,86.776,31.339
9,0.291,87.663,0.308,86.932,31.328
