Epoch,train_loss,train_acc,val_loss,val_acc,train_time
0,0.414,80.67,0.355,85.19,33.201
1,0.261,89.337,0.309,86.96,33.227
2,0.188,92.87,0.316,86.61,33.312
3,0.134,95.077,0.361,86.18,33.263
4,0.105,95.977,0.449,85.69,33.276
5,0.07,97.463,0.525,85.83,33.269
6,0.049,98.307,0.644,85.94,33.251
7,0.041,98.59,0.714,86.53,33.243
8,0.042,98.433,0.739,87.28,33.187
9,0.029,98.953,0.795,87.08,33.237
