Epoch,train_loss,train_acc,val_loss,val_acc,train_time
0,0.685,54.717,0.675,57.15,16.789
1,0.671,57.853,0.66,59.84,16.8
2,0.65,60.65,0.626,64.07,16.81
3,0.606,66.033,0.568,69.76,16.836
4,0.551,71.23,0.504,74.9,16.858
5,0.501,75.263,0.427,79.91,16.883
6,0.462,78.183,0.562,71.73,16.879
7,0.43,80.377,0.751,62.41,16.865
8,0.407,81.67,0.438,79.69,16.876
9,0.423,80.63,0.533,74.72,16.869
