Epoch,train_loss,train_acc,val_loss,val_acc,train_time,Test_Accuracy
0,0.337,85.165,0.3,86.75,52.234,87.602
1,0.265,88.728,0.281,87.731,52.98,87.602
2,0.235,90.104,0.279,88.194,53.092,87.602
3,0.21,91.38,0.293,88.231,53.748,87.602
4,0.185,92.624,0.323,88.046,53.784,87.602
5,0.158,93.793,0.383,87.88,53.877,87.602
6,0.131,95.041,0.484,87.565,53.926,87.602
7,0.107,96.061,0.703,87.454,53.835,87.602
8,0.09,96.737,0.952,87.38,53.912,87.602
9,0.075,97.251,1.289,87.102,53.928,87.602
