Epoch,train_loss,train_acc,val_loss,val_acc,train_time,Test_Accuracy
0,0.394,82.518,0.317,86.533,365.68,88.039
1,0.29,87.493,0.294,87.639,365.741,88.039
2,0.265,88.813,0.284,88.132,365.76,88.039
3,0.249,89.58,0.286,88.355,365.718,88.039
4,0.239,89.958,0.294,88.494,365.713,88.039
5,0.231,90.558,0.288,88.364,365.691,88.039
6,0.221,91.028,0.294,88.494,365.711,88.039
7,0.214,91.218,0.305,88.383,365.669,88.039
8,0.208,91.471,0.311,88.439,365.719,88.039
9,0.202,91.886,0.313,87.937,365.722,88.039
