Epoch,train_loss,train_acc,val_loss,val_acc,train_time,Test_Accuracy
0,0.591,0.674,0.483,0.775,11.778,0.876
1,0.402,0.82,0.355,0.849,11.746,0.876
2,0.388,0.825,0.354,0.854,11.772,0.876
3,0.309,0.874,0.353,0.856,11.704,0.876
4,0.269,0.892,0.358,0.856,11.754,0.876
5,0.25,0.903,0.344,0.864,11.742,0.876
6,0.232,0.909,0.339,0.871,11.736,0.876
7,0.215,0.918,0.347,0.876,11.688,0.876
8,0.203,0.922,0.35,0.871,11.647,0.876
9,0.175,0.935,0.358,0.876,11.688,0.876
