Epoch,train_loss,train_acc,val_loss,val_acc,train_time,Test_Accuracy
0,0.502,74.397,0.408,83.15,16.967,84.74
1,0.336,85.4,0.337,85.82,15.801,84.74
2,0.272,88.657,0.309,86.87,15.8,84.74
3,0.228,90.92,0.3,87.04,15.793,84.74
4,0.189,92.8,0.32,86.58,15.796,84.74
5,0.151,94.48,0.338,86.65,15.801,84.74
6,0.129,95.147,0.339,87.55,15.809,84.74
7,0.112,95.667,0.454,85.14,15.806,84.74
8,0.077,97.357,0.506,85.4,15.81,84.74
9,0.054,98.257,0.574,85.35,15.803,84.74
