Epoch,train_loss,train_acc,val_loss,val_acc,train_time,Test_Accuracy
0,0.38,83.383,0.301,87.288,13.529,88.027
1,0.279,88.353,0.283,88.064,11.217,88.027
2,0.249,89.61,0.281,88.265,11.207,88.027
3,0.229,90.63,0.293,88.511,11.209,88.027
4,0.211,91.436,0.3,88.612,11.192,88.027
5,0.195,92.189,0.311,88.658,11.231,88.027
6,0.181,92.701,0.322,88.457,11.233,88.027
7,0.169,93.242,0.355,88.475,11.237,88.027
8,0.158,93.716,0.361,88.575,11.22,88.027
9,0.148,94.158,0.372,88.557,11.22,88.027
