Epoch,train_loss,train_acc,val_loss,val_acc,train_time
0,49.805,50.003,49.76,50.24,15.443
1,49.873,50.113,49.752,50.18,15.472
2,50.111,49.85,49.76,50.24,15.459
3,49.918,50.073,49.76,50.24,15.472
4,49.897,50.103,49.76,50.24,15.465
5,49.91,50.087,49.76,50.24,15.46
6,49.907,50.093,49.76,50.24,15.462
7,49.91,50.09,49.76,50.24,15.832
8,49.913,50.087,49.76,50.24,15.605
9,49.9,50.1,49.76,50.24,15.445
