Epoch,train_loss,train_acc,val_loss,val_acc,train_time
0,0.601,74.637,0.404,82.51,10.801
1,0.304,87.183,0.358,85.49,10.812
2,0.206,91.947,0.377,85.78,10.807
3,0.137,94.983,0.437,85.46,10.814
4,0.085,97.2,0.505,85.25,10.841
5,0.051,98.437,0.608,85.52,11.238
6,0.033,99.033,0.718,85.22,11.233
7,0.024,99.34,0.794,85.25,11.242
8,0.016,99.553,0.982,85.27,11.232
9,0.014,99.603,0.99,85.37,11.237
