Epoch,train_loss,train_acc,val_loss,val_acc,train_time
0,0.657,57.323,0.495,78.05,10.637
1,0.419,81.157,0.391,83.47,9.431
2,0.328,86.203,0.365,85.19,9.421
3,0.28,88.54,0.356,85.88,9.412
4,0.249,90.07,0.36,86.21,9.416
5,0.221,91.357,0.379,86.13,9.412
6,0.203,92.31,0.38,85.93,9.409
7,0.19,92.727,0.407,86.03,9.419
8,0.177,93.333,0.431,85.53,9.444
9,0.167,93.793,0.43,85.69,9.414
