Epoch,train_loss,train_acc,val_loss,val_acc,train_time
0,0.716,50.303,0.713,49.8,10.952
1,0.711,51.017,0.707,49.85,10.988
2,0.702,52.457,0.696,50.31,10.975
3,0.685,55.8,0.672,52.48,10.976
4,0.645,62.523,0.632,60.26,10.971
5,0.588,69.673,0.577,69.39,10.978
6,0.532,74.43,0.534,73.15,10.978
7,0.489,77.217,0.495,76.09,10.983
8,0.453,79.227,0.477,76.79,10.98
9,0.424,81.263,0.451,78.91,10.965
