Epoch,train_loss,train_acc,val_loss,val_acc,train_time
0,0.692,52.083,0.69,57.5,10.036
1,0.689,56.513,0.686,62.94,10.035
2,0.685,60.197,0.682,66.01,10.038
3,0.682,63.22,0.677,68.17,10.049
4,0.677,65.61,0.672,69.75,10.051
5,0.673,68.033,0.667,71.21,10.048
6,0.667,70.023,0.66,72.11,10.057
7,0.66,71.767,0.652,72.89,10.052
8,0.653,73.18,0.642,73.73,10.048
9,0.643,74.413,0.632,74.23,10.053
