Epoch,train_loss,train_acc,val_loss,val_acc,train_time
0,0.336,85.136,0.282,87.926,91.02
1,0.26,89.088,0.27,88.75,91.128
2,0.221,90.99,0.285,88.824,91.137
3,0.179,93.098,0.333,88.602,91.286
4,0.131,95.29,0.417,88.259,91.153
5,0.089,97.037,0.555,87.889,91.09
6,0.068,97.633,0.979,87.806,91.054
7,0.057,98.052,1.321,87.991,91.201
8,0.038,98.77,1.471,88.324,91.219
9,0.029,99.104,1.478,88.139,91.144
