Epoch,train_loss,train_acc,val_loss,val_acc,train_time
0,0.394,82.429,0.322,86.729,10.348
1,0.294,87.496,0.304,87.807,10.34
2,0.269,88.57,0.303,88.42,10.326
3,0.256,89.27,0.305,88.216,10.327
4,0.244,89.824,0.306,88.429,10.364
5,0.236,90.223,0.307,88.467,10.378
6,0.23,90.499,0.317,88.281,10.361
7,0.222,90.93,0.312,88.569,10.359
8,0.217,91.113,0.327,88.494,10.34
9,0.211,91.448,0.331,88.69,10.333
