Epoch,train_loss,train_acc,val_loss,val_acc,train_time
0,0.547,76.418,0.554,75.744,19.163
1,0.546,76.431,0.552,75.744,19.161
2,0.543,76.431,0.548,75.744,19.16
3,0.531,76.431,0.518,75.744,19.176
4,0.474,77.623,0.458,78.959,19.147
5,0.438,79.496,0.436,80.247,19.129
6,0.42,80.419,0.42,81.096,19.137
7,0.405,81.371,0.406,81.826,19.145
8,0.393,82.195,0.395,82.648,19.18
9,0.384,82.637,0.385,83.342,19.167
