Epoch,train_loss,train_acc,val_loss,val_acc,train_time
0,0.66,56.213,0.483,77.04,8.68
1,0.383,83.36,0.337,85.65,8.738
2,0.299,87.82,0.31,87.07,8.74
3,0.262,89.587,0.304,87.49,8.742
4,0.233,91.047,0.308,87.57,8.74
5,0.213,91.987,0.309,87.78,8.746
6,0.197,92.607,0.31,87.69,8.743
7,0.182,93.14,0.329,87.49,8.743
8,0.164,94.007,0.331,87.63,8.745
9,0.152,94.57,0.354,87.7,8.754
