Epoch,train_loss,train_acc,val_loss,val_acc,train_time
0,0.535,76.431,0.531,75.736,21.745
1,0.516,76.494,0.511,76.0,22.144
2,0.498,76.945,0.492,76.782,22.312
3,0.48,77.717,0.474,77.527,21.838
4,0.463,78.395,0.458,78.482,21.837
5,0.448,79.087,0.444,79.2,21.808
6,0.434,79.753,0.431,79.836,21.793
7,0.42,80.378,0.418,80.455,21.835
8,0.409,80.969,0.407,81.191,21.844
9,0.397,81.627,0.397,81.782,21.804
