Epoch,train_loss,train_acc,val_loss,val_acc,train_time
0,0.376,83.425,0.315,86.803,10.938
1,0.283,88.057,0.297,87.937,10.937
2,0.255,89.39,0.286,88.281,10.942
3,0.237,90.183,0.29,88.234,10.961
4,0.223,90.854,0.291,88.058,10.963
5,0.207,91.587,0.307,87.89,10.965
6,0.194,92.122,0.323,87.491,10.964
7,0.182,92.728,0.345,85.929,10.948
8,0.171,93.222,0.401,84.712,10.949
9,0.159,93.741,0.456,83.522,10.941
