Epoch,train_loss,train_acc,val_loss,val_acc,train_time
0,0.693,49.87,0.693,50.78,8.016
1,0.693,49.993,0.693,50.78,8.009
2,0.534,72.227,0.409,82.25,8.01
3,0.358,84.89,0.363,84.59,8.011
4,0.306,87.377,0.336,85.92,8.01
5,0.277,88.707,0.328,86.33,8.004
6,0.255,89.8,0.348,84.91,8.004
7,0.24,90.523,0.327,86.12,8.002
8,0.227,91.22,0.353,84.78,8.015
9,0.216,91.673,0.323,86.37,8.02
