Epoch,train_loss,train_acc,val_loss,val_acc,train_time
0,0.419,80.047,0.347,85.73,27.254
1,0.262,89.39,0.301,87.29,27.336
2,0.19,92.85,0.296,87.43,27.326
3,0.13,95.447,0.338,87.03,27.309
4,0.103,96.23,0.463,85.61,27.292
5,0.081,97.007,0.526,85.11,27.327
6,0.056,98.087,0.494,86.96,27.32
7,0.03,99.103,0.558,87.15,27.297
8,0.014,99.71,0.667,87.56,27.374
9,0.008,99.863,0.876,86.71,27.3
