Epoch,train_loss,train_acc,val_loss,val_acc,train_time,Test_Accuracy
0,0.402,81.787,0.324,86.282,368.879,88.145
1,0.289,87.594,0.3,88.1,368.807,88.145
2,0.263,88.945,0.299,88.618,368.798,88.145
3,0.248,89.601,0.302,88.645,368.78,88.145
4,0.237,90.101,0.312,88.564,368.836,88.145
5,0.227,90.663,0.33,88.591,368.806,88.145
6,0.219,91.002,0.338,88.527,368.796,88.145
7,0.212,91.211,0.35,88.227,368.802,88.145
8,0.205,91.667,0.366,88.245,368.818,88.145
9,0.196,92.061,0.379,88.391,368.796,88.145
