Epoch,train_loss,train_acc,val_loss,val_acc,train_time,Test_Accuracy
0,0.689,52.447,0.635,61.92,133.061,87.32
1,0.433,80.433,0.377,83.46,133.138,87.32
2,0.331,86.107,0.346,84.61,133.145,87.32
3,0.288,88.16,0.317,86.61,133.122,87.32
4,0.262,89.477,0.304,87.51,133.117,87.32
5,0.239,90.603,0.293,87.96,133.111,87.32
6,0.224,91.167,0.291,87.92,133.136,87.32
7,0.208,92.04,0.292,88.23,133.124,87.32
8,0.197,92.44,0.296,87.87,133.136,87.32
9,0.183,93.217,0.302,87.85,133.156,87.32
