Epoch,train_loss,train_acc,val_loss,val_acc,train_time,Test_Accuracy
0,0.602,66.343,0.487,76.8,11.583,87.13
1,0.419,81.15,0.399,82.91,11.564,87.13
2,0.34,85.633,0.357,84.66,11.573,87.13
3,0.354,85.15,0.397,82.92,11.581,87.13
4,0.31,87.197,0.32,86.51,11.58,87.13
5,0.282,88.693,0.321,86.88,11.58,87.13
6,0.25,90.1,0.326,87.1,11.582,87.13
7,0.239,90.673,0.32,87.75,11.574,87.13
8,0.223,91.277,0.328,87.99,11.568,87.13
9,0.211,91.923,0.384,86.68,11.569,87.13
