Epoch,train_loss,train_acc,val_loss,val_acc,train_time,Test_Accuracy
0,0.633,61.7,0.476,78.35,133.079,87.96
1,0.393,82.91,0.364,84.42,133.081,87.96
2,0.308,87.36,0.325,86.15,133.219,87.96
3,0.267,89.353,0.308,86.71,133.079,87.96
4,0.241,90.397,0.301,87.07,133.051,87.96
5,0.217,91.623,0.298,87.82,133.041,87.96
6,0.198,92.527,0.3,87.7,133.087,87.96
7,0.183,93.073,0.302,87.98,133.201,87.96
8,0.169,93.73,0.305,87.94,133.085,87.96
9,0.157,94.197,0.314,87.8,133.056,87.96
