Epoch,train_loss,train_acc,val_loss,val_acc,train_time,Test_Accuracy
0,0.369,83.851,0.301,87.186,29.903,88.204
1,0.275,88.411,0.284,88.096,29.89,88.204
2,0.248,89.698,0.275,88.642,29.93,88.204
3,0.229,90.561,0.275,88.669,29.893,88.204
4,0.21,91.412,0.288,88.624,29.902,88.204
5,0.191,92.307,0.294,88.569,29.938,88.204
6,0.175,92.995,0.313,88.597,29.925,88.204
7,0.152,93.981,0.338,88.333,29.874,88.204
8,0.136,94.758,0.365,88.142,29.949,88.204
9,0.119,95.467,0.398,88.032,29.894,88.204
